date,Sabrina Ionescu,New York Liberty,isPartial
2021-12-26,0,0,False
2022-01-02,0,0,False
2022-01-09,0,0,False
2022-01-16,0,0,False
2022-01-23,0,0,False
2022-01-30,0,0,False
2022-02-06,0,0,False
2022-02-13,0,0,False
2022-02-20,0,0,False
2022-02-27,0,6,False
2022-03-06,0,0,False
2022-03-13,0,0,False
2022-03-20,0,0,False
2022-03-27,0,0,False
2022-04-03,0,0,False
2022-04-10,0,0,False
2022-04-17,0,0,False
2022-04-24,0,0,False
2022-05-01,0,0,False
2022-05-08,0,0,False
2022-05-15,0,0,False
2022-05-22,0,0,False
2022-05-29,0,0,False
2022-06-05,0,0,False
2022-06-12,0,0,False
2022-06-19,0,0,False
2022-06-26,0,5,False
2022-07-03,0,0,False
2022-07-10,0,0,False
2022-07-17,0,0,False
2022-07-24,0,0,False
2022-07-31,0,0,False
2022-08-07,0,0,False
2022-08-14,0,6,False
2022-08-21,0,0,False
2022-08-28,0,0,False
2022-09-04,0,6,False
2022-09-11,0,0,False
2022-09-18,0,0,False
2022-09-25,0,0,False
2022-10-02,0,0,False
2022-10-09,0,0,False
2022-10-16,0,0,False
2022-10-23,0,0,False
2022-10-30,0,0,False
2022-11-06,0,0,False
2022-11-13,0,0,False
2022-11-20,0,0,False
2022-11-27,0,0,False
2022-12-04,0,0,False
2022-12-11,0,0,False
2022-12-18,0,0,False
2022-12-25,0,0,False
2023-01-01,0,0,False
2023-01-08,0,0,False
2023-01-15,0,0,False
2023-01-22,0,7,False
2023-01-29,0,0,False
2023-02-05,0,0,False
2023-02-12,0,0,False
2023-02-19,0,0,False
2023-02-26,0,0,False
2023-03-05,0,0,False
2023-03-12,0,0,False
2023-03-19,0,0,False
2023-03-26,0,0,False
2023-04-02,0,0,False
2023-04-09,0,0,False
2023-04-16,0,0,False
2023-04-23,0,0,False
2023-04-30,0,0,False
2023-05-07,0,0,False
2023-05-14,0,10,False
2023-05-21,0,7,False
2023-05-28,0,6,False
2023-06-04,0,0,False
2023-06-11,0,0,False
2023-06-18,0,0,False
2023-06-25,0,0,False
2023-07-02,0,8,False
2023-07-09,15,0,False
2023-07-16,12,0,False
2023-07-23,7,8,False
2023-07-30,0,0,False
2023-08-06,0,0,False
2023-08-13,0,0,False
2023-08-20,0,0,False
2023-08-27,0,6,False
2023-09-03,0,0,False
2023-09-10,9,0,False
2023-09-17,6,0,False
2023-09-24,0,7,False
2023-10-01,5,0,False
2023-10-08,0,10,False
2023-10-15,6,6,False
2023-10-22,0,0,False
2023-10-29,0,0,False
2023-11-05,5,0,False
2023-11-12,0,0,False
2023-11-19,0,0,False
2023-11-26,0,0,False
2023-12-03,0,0,False
2023-12-10,0,0,False
2023-12-17,0,0,False
2023-12-24,0,0,False
2023-12-31,0,0,False
2024-01-07,0,0,False
2024-01-14,0,0,False
2024-01-21,0,0,False
2024-01-28,9,0,False
2024-02-04,6,0,False
2024-02-11,15,0,False
2024-02-18,100,0,False
2024-02-25,0,0,False
2024-03-03,0,0,False
2024-03-10,7,0,False
2024-03-17,0,0,False
2024-03-24,0,9,False
2024-03-31,14,0,False
2024-04-07,6,0,False
2024-04-14,6,0,False
2024-04-21,0,0,False
2024-04-28,0,0,False
2024-05-05,0,0,False
2024-05-12,20,27,False
2024-05-19,16,9,False
2024-05-26,9,0,False
2024-06-02,20,16,False
2024-06-09,10,6,False
2024-06-16,8,7,False
2024-06-23,8,6,False
2024-06-30,16,22,False
2024-07-07,15,17,False
2024-07-14,10,8,False
2024-07-21,6,0,False
2024-07-28,0,0,False
2024-08-04,0,0,False
2024-08-11,11,9,False
2024-08-18,7,15,False
2024-08-25,0,10,False
2024-09-01,0,9,False
2024-09-08,9,11,False
2024-09-15,0,9,False
2024-09-22,7,19,False
2024-09-29,12,32,False
2024-10-06,11,23,False
2024-10-13,27,30,False
2024-10-20,24,28,False
2024-10-27,0,0,False
2024-11-03,0,0,False
2024-11-10,0,0,False
2024-11-17,0,0,False
2024-11-24,0,0,False
2024-12-01,0,0,False
2024-12-08,0,0,False
2024-12-15,0,0,False
2024-12-22,0,0,False
2024-12-29,6,0,False
2025-01-05,0,0,False
2025-01-12,0,0,False
2025-01-19,0,0,False
2025-01-26,0,0,False
2025-02-02,0,0,False
2025-02-09,0,6,False
2025-02-16,0,0,False
2025-02-23,0,0,False
2025-03-02,0,0,False
2025-03-09,0,0,False
2025-03-16,0,0,False
2025-03-23,0,0,False
2025-03-30,0,0,False
2025-04-06,0,0,False
2025-04-13,0,0,False
2025-04-20,0,0,False
2025-04-27,0,0,False
2025-05-04,0,8,False
2025-05-11,0,9,False
2025-05-18,10,27,False
2025-05-25,11,12,False
2025-06-01,7,8,False
2025-06-08,13,28,False
2025-06-15,13,14,False
2025-06-22,7,6,False
2025-06-29,0,10,False
2025-07-06,8,10,False
2025-07-13,23,16,False
2025-07-20,20,15,False
2025-07-27,8,8,False
2025-08-03,10,6,False
2025-08-10,10,11,False
2025-08-17,7,11,False
2025-08-24,0,11,False
2025-08-31,0,11,False
2025-09-07,0,0,False
2025-09-14,0,14,False
2025-09-21,0,7,False
2025-09-28,0,0,False
2025-10-05,7,2,False
